Invoice No,Invoice Date,Customer Name,Customer GSTIN,Salesperson,Region,Product Category,Product Name,Quantity,Unit Price (INR),Discount (%),Net Amount (INR),GST Rate (%),GST Amount (INR),Total Invoice Value (INR)
INV/25-26/1001,10-Apr-2025,Bharat Stationery House,07AABCB9012H1Z1,Suresh Agarwal,West,Furniture,Filing Cabinet,16,"1,301",0,"20,816",28,"5,828","26,644"
INV/25-26/1002,26-Apr-2025,Laxmi Exports,19AABCL2345R1Z6,Priya Sharma,West,Networking,Cat6 Cable Roll,38,"2,034",10,"69,563",5,"3,478","73,041"
INV/25-26/1003,26-Apr-2025,Om Traders,36AABCO7890Q1Z4,Vikram Sinha,Central,IT Equipment,Wireless Mouse,50,"1,279",5,"60,752",12,"7,290","68,042"
INV/25-26/1004,21-Apr-2025,Sinha Industries,07AABCS2345Y1Z0,Ravi Kumar,Central,Packaging,Stretch Film,28,574,0,"16,072",18,"2,893","18,965"
INV/25-26/1005,08-Apr-2025,Verma & Co,09AABCV9012V1Z4,Vikram Sinha,Central,Networking,Network Switch 8P,29,"1,902",15,"46,884",12,"5,626","52,510"
INV/25-26/1006,12-Apr-2025,Mehta Trading Co,27AABCM1234F1Z5,Pooja Jain,North,Electrical,Surge Protector,6,625,0,"3,750",18,675,"4,425"
INV/25-26/1007,10-Apr-2025,Tech Solutions Pvt Ltd,29AABCT3456P1Z2,Pooja Jain,South,Printing,Lamination Pouch,23,"2,407",15,"47,057",28,"13,176","60,233"
INV/25-26/1008,11-Apr-2025,Bharat Stationery House,07AABCB9012H1Z1,Rajesh Gupta,North,IT Equipment,Wireless Mouse,22,"3,257",0,"71,654",12,"8,598","80,252"
INV/25-26/1009,17-Apr-2025,Kumar & Sons,09AABCK2345K1Z2,Vikram Sinha,South,Safety Equipment,Hand Sanitizer,30,"1,198",10,"32,346",12,"3,882","36,228"
INV/25-26/1010,06-Apr-2025,National Agencies,24AABCN6789S1Z8,Suresh Agarwal,North,Networking,Network Switch 8P,29,"2,981",10,"77,804",5,"3,890","81,694"
INV/25-26/1011,23-Apr-2025,Patel Industries,24AABCP6789L1Z4,Sunita Singh,East,IT Equipment,Webcam,7,"4,008",0,"28,056",18,"5,050","33,106"
INV/25-26/1012,11-Apr-2025,Patel Industries,24AABCP6789L1Z4,Pooja Jain,North,Electrical,Surge Protector,34,"4,831",5,"156,041",28,"43,691","199,732"
INV/25-26/1013,20-Apr-2025,Laxmi Exports,19AABCL2345R1Z6,Neha Mehta,North,Safety Equipment,Safety Helmet,30,"3,106",5,"88,521",5,"4,426","92,947"
INV/25-26/1014,22-Apr-2025,Global Traders,36AABCG7890J1Z9,Meena Verma,North,Stationery,Highlighter Set,8,956,0,"7,648",28,"2,141","9,789"
