Invoice No,Invoice Date,Customer Name,Customer GSTIN,Salesperson,Region,Product Category,Product Name,Quantity,Unit Price (INR),Discount (%),Net Amount (INR),GST Rate (%),GST Amount (INR),Total Invoice Value (INR)
INV/25-26/1101,28-May-2025,Agarwal Traders,19AABCA3456W1Z6,Meena Verma,West,Electrical,Surge Protector,42,"2,454",15,"87,608",5,"4,380","91,988"
INV/25-26/1102,06-May-2025,Raj Distributors,33AABCR5678N1Z8,Suresh Agarwal,South,Networking,Cat6 Cable Roll,3,"2,009",5,"5,726",12,687,"6,413"
INV/25-26/1103,02-May-2025,Sharma Enterprises,33AABCS5678U1Z2,Rajesh Gupta,East,Office Supplies,File Folders,20,"1,589",15,"27,013",5,"1,351","28,364"
INV/25-26/1104,28-May-2025,Singh Logistics,27AABCS1234M1Z6,Amit Patel,East,Cleaning Supplies,Disinfectant Spray,18,"3,658",0,"65,844",12,"7,901","73,745"
INV/25-26/1105,15-May-2025,Patel Industries,24AABCP6789L1Z4,Suresh Agarwal,West,Printing,Binding Covers,4,"2,601",0,"10,404",5,520,"10,924"
INV/25-26/1106,10-May-2025,Verma & Co,09AABCV9012V1Z4,Suresh Agarwal,South,Printing,Printer Cartridge,12,"1,004",2,"11,807",5,590,"12,397"
INV/25-26/1107,08-May-2025,Sunrise Enterprises,29AACCS5678G1Z3,Pooja Jain,North,Safety Equipment,First Aid Kit,18,"1,873",15,"28,657",28,"8,024","36,681"
INV/25-26/1108,21-May-2025,Anand Electricals,33AABCA3456I1Z7,Ravi Kumar,South,Safety Equipment,Hand Sanitizer,39,"2,258",15,"74,853",18,"13,474","88,327"
INV/25-26/1109,12-May-2025,Kumar & Sons,09AABCK2345K1Z2,Rajesh Gupta,North,Electrical,LED Bulb Pack,25,296,2,"7,252",12,870,"8,122"
INV/25-26/1110,21-May-2025,Singh Logistics,27AABCS1234M1Z6,Sunita Singh,East,Packaging,Bubble Wrap Roll,50,"4,837",0,"241,850",28,"67,718","309,568"
INV/25-26/1111,30-May-2025,Global Traders,36AABCG7890J1Z9,Amit Patel,Central,Office Supplies,Stapler Set,17,"3,061",5,"49,435",18,"8,898","58,333"
INV/25-26/1112,14-May-2025,Laxmi Exports,19AABCL2345R1Z6,Meena Verma,West,Electrical,Extension Cord,30,"1,546",10,"41,742",5,"2,087","43,829"
INV/25-26/1113,01-May-2025,Verma & Co,09AABCV9012V1Z4,Meena Verma,Central,Networking,WiFi Extender,20,"3,438",15,"58,446",5,"2,922","61,368"
INV/25-26/1114,11-May-2025,Raj Distributors,33AABCR5678N1Z8,Meena Verma,East,Electrical,UPS 600VA,13,792,2,"10,090",5,504,"10,594"
INV/25-26/1115,26-May-2025,Sinha Industries,07AABCS2345Y1Z0,Suresh Agarwal,East,Furniture,Office Chair,42,"2,512",5,"100,229",18,"18,041","118,270"
INV/25-26/1116,30-May-2025,National Agencies,24AABCN6789S1Z8,Suresh Agarwal,West,Office Supplies,Pen Set,46,"4,974",2,"224,228",18,"40,361","264,589"
