Vendor Code,Vendor Name,Vendor GSTIN,PAN,Invoice Number,Invoice Date,Due Date,Invoice Amount (INR),Amount Paid (INR),Balance Outstanding (INR),Payment Terms,Aging Bucket,Overdue Days,Contact Person,Contact Email
V013,Laxmi Exports,19AABCL2345R1Z6,AABCL2345R,PINV/3553,26-Feb-2025,28-Mar-2025,"19,707","9,854","9,853",Net 30,Above 120 days,94,Mohan Laxmi,mohan@laxmiexp.com
V007,Patel Industries,24AABCP6789L1Z4,AABCP6789L,PINV/2363,14-Apr-2025,14-May-2025,"301,640",0,"301,640",Net 30,61-90 days,47,Nitin Patel,nitin@patelinds.com
V009,Raj Distributors,33AABCR5678N1Z8,AABCR5678N,PINV/3878,25-Apr-2025,25-May-2025,"196,421",0,"196,421",Net 30,61-90 days,36,Rajesh Kumar,rajesh@rajdist.com
V008,Singh Logistics,27AABCS1234M1Z6,AABCS1234M,PINV/5640,25-Mar-2025,24-May-2025,"285,450","142,725","142,725",Net 60,61-90 days,37,Gurpreet Singh,g.singh@singhlog.com
V002,Sunrise Enterprises,29AACCS5678G1Z3,AACCS5678G,PINV/6459,26-May-2025,10-Jul-2025,"360,283",0,"360,283",Net 45,Current (0-30),0,Priya Nair,priya@sunrise.com
V003,Bharat Stationery,07AABCB9012H1Z1,AABCB9012H,PINV/4106,28-Jun-2025,28-Jul-2025,"16,289","16,289",0,Net 30,Current (0-30),0,Amit Sharma,amit@bharatstat.com
V012,Om Traders,36AABCO7890Q1Z4,AABCO7890Q,PINV/7131,24-Feb-2025,25-Apr-2025,"208,232","104,116","104,116",Net 60,91-120 days,66,Rekha Joshi,rekha@omtraders.com
V007,Patel Industries,24AABCP6789L1Z4,AABCP6789L,PINV/7113,23-Mar-2025,22-Apr-2025,"249,880","249,880",0,Net 30,91-120 days,69,Nitin Patel,nitin@patelinds.com
V002,Sunrise Enterprises,29AACCS5678G1Z3,AACCS5678G,PINV/7697,20-Jun-2025,04-Aug-2025,"496,312",0,"496,312",Net 45,Current (0-30),0,Priya Nair,priya@sunrise.com
V007,Patel Industries,24AABCP6789L1Z4,AABCP6789L,PINV/3660,11-May-2025,10-Jun-2025,"383,846",0,"383,846",Net 30,31-60 days,20,Nitin Patel,nitin@patelinds.com
V013,Laxmi Exports,19AABCL2345R1Z6,AABCL2345R,PINV/6711,19-Feb-2025,21-Mar-2025,"357,473",0,"357,473",Net 30,Above 120 days,101,Mohan Laxmi,mohan@laxmiexp.com
V012,Om Traders,36AABCO7890Q1Z4,AABCO7890Q,PINV/1945,23-Mar-2025,22-May-2025,"463,994",0,"463,994",Net 60,61-90 days,39,Rekha Joshi,rekha@omtraders.com
V004,Anand Electricals,33AABCA3456I1Z7,AABCA3456I,PINV/8827,21-Jun-2025,20-Aug-2025,"461,520",0,"461,520",Net 60,Current (0-30),0,Suresh Anand,suresh@anandele.com
V011,Tech Solutions,29AABCT3456P1Z2,AABCT3456P,PINV/1462,23-May-2025,22-Jun-2025,"138,052","69,026","69,026",Net 30,31-60 days,8,Arjun Das,arjun@techsol.com
V011,Tech Solutions,29AABCT3456P1Z2,AABCT3456P,PINV/3414,25-Apr-2025,25-May-2025,"131,233","131,233",0,Net 30,61-90 days,36,Arjun Das,arjun@techsol.com
V011,Tech Solutions,29AABCT3456P1Z2,AABCT3456P,PINV/3644,26-Jun-2025,26-Jul-2025,"67,198",0,"67,198",Net 30,Current (0-30),0,Arjun Das,arjun@techsol.com
V011,Tech Solutions,29AABCT3456P1Z2,AABCT3456P,PINV/7297,20-Mar-2025,19-Apr-2025,"355,974",0,"355,974",Net 30,91-120 days,72,Arjun Das,arjun@techsol.com
V009,Raj Distributors,33AABCR5678N1Z8,AABCR5678N,PINV/4093,13-Mar-2025,12-Apr-2025,"91,254","45,627","45,627",Net 30,91-120 days,79,Rajesh Kumar,rajesh@rajdist.com
V005,Global Traders,36AABCG7890J1Z9,AABCG7890J,PINV/5951,21-Feb-2025,23-Mar-2025,"484,165","242,082","242,083",Net 30,Above 120 days,99,Deepa Reddy,deepa@globaltr.com
V010,New India Corp,07AABCN9012O1Z0,AABCN9012O,PINV/6045,16-Mar-2025,30-Apr-2025,"378,707",0,"378,707",Net 45,91-120 days,61,Sunita Verma,sunita@newinda.com
V002,Sunrise Enterprises,29AACCS5678G1Z3,AACCS5678G,PINV/6642,24-May-2025,08-Jul-2025,"141,820",0,"141,820",Net 45,Current (0-30),0,Priya Nair,priya@sunrise.com
V015,Gupta Brothers,27AABCG1234T1Z0,AABCG1234T,PINV/7520,12-Apr-2025,12-May-2025,"13,146",0,"13,146",Net 30,61-90 days,49,Ramesh Gupta,ramesh@guptabr.com
V014,National Agencies,24AABCN6789S1Z8,AABCN6789S,PINV/9056,29-Jun-2025,13-Aug-2025,"57,467","28,734","28,733",Net 45,Current (0-30),0,Kavita Rao,kavita@natlag.com
V009,Raj Distributors,33AABCR5678N1Z8,AABCR5678N,PINV/7829,17-Apr-2025,17-May-2025,"369,191",0,"369,191",Net 30,61-90 days,44,Rajesh Kumar,rajesh@rajdist.com
V003,Bharat Stationery,07AABCB9012H1Z1,AABCB9012H,PINV/7138,13-May-2025,12-Jun-2025,"354,983",0,"354,983",Net 30,31-60 days,18,Amit Sharma,amit@bharatstat.com
V008,Singh Logistics,27AABCS1234M1Z6,AABCS1234M,PINV/3981,21-Feb-2025,22-Apr-2025,"474,757","237,378","237,379",Net 60,91-120 days,69,Gurpreet Singh,g.singh@singhlog.com
V010,New India Corp,07AABCN9012O1Z0,AABCN9012O,PINV/4482,13-May-2025,27-Jun-2025,"108,461",0,"108,461",Net 45,31-60 days,3,Sunita Verma,sunita@newinda.com
V013,Laxmi Exports,19AABCL2345R1Z6,AABCL2345R,PINV/4143,24-Apr-2025,24-May-2025,"491,644","245,822","245,822",Net 30,61-90 days,37,Mohan Laxmi,mohan@laxmiexp.com
V008,Singh Logistics,27AABCS1234M1Z6,AABCS1234M,PINV/2789,18-May-2025,17-Jul-2025,"49,107",0,"49,107",Net 60,Current (0-30),0,Gurpreet Singh,g.singh@singhlog.com
V007,Patel Industries,24AABCP6789L1Z4,AABCP6789L,PINV/3042,20-Apr-2025,20-May-2025,"41,489",0,"41,489",Net 30,61-90 days,41,Nitin Patel,nitin@patelinds.com
V010,New India Corp,07AABCN9012O1Z0,AABCN9012O,PINV/4846,27-Feb-2025,13-Apr-2025,"247,745",0,"247,745",Net 45,91-120 days,78,Sunita Verma,sunita@newinda.com
V001,Mehta Trading Co,27AABCM1234F1Z5,AABCM1234F,PINV/2000,22-Apr-2025,22-May-2025,"378,381",0,"378,381",Net 30,61-90 days,39,Rahul Mehta,rahul@mehtatrading.com
V011,Tech Solutions,29AABCT3456P1Z2,AABCT3456P,PINV/1685,05-Jun-2025,05-Jul-2025,"113,423",0,"113,423",Net 30,Current (0-30),0,Arjun Das,arjun@techsol.com
V007,Patel Industries,24AABCP6789L1Z4,AABCP6789L,PINV/9520,22-Apr-2025,22-May-2025,"466,743","233,372","233,371",Net 30,61-90 days,39,Nitin Patel,nitin@patelinds.com
V013,Laxmi Exports,19AABCL2345R1Z6,AABCL2345R,PINV/6521,12-Mar-2025,11-Apr-2025,"174,910",0,"174,910",Net 30,91-120 days,80,Mohan Laxmi,mohan@laxmiexp.com
V006,Kumar & Sons,09AABCK2345K1Z2,AABCK2345K,PINV/4925,29-Mar-2025,13-May-2025,"335,888","167,944","167,944",Net 45,61-90 days,48,Vijay Kumar,vijay@kumarsons.com
V010,New India Corp,07AABCN9012O1Z0,AABCN9012O,PINV/1937,30-Mar-2025,14-May-2025,"437,808",0,"437,808",Net 45,61-90 days,47,Sunita Verma,sunita@newinda.com
V001,Mehta Trading Co,27AABCM1234F1Z5,AABCM1234F,PINV/8486,19-Mar-2025,18-Apr-2025,"365,358",0,"365,358",Net 30,91-120 days,73,Rahul Mehta,rahul@mehtatrading.com
V001,Mehta Trading Co,27AABCM1234F1Z5,AABCM1234F,PINV/3013,14-Feb-2025,16-Mar-2025,"146,939",0,"146,939",Net 30,Above 120 days,106,Rahul Mehta,rahul@mehtatrading.com
V006,Kumar & Sons,09AABCK2345K1Z2,AABCK2345K,PINV/8404,28-Feb-2025,14-Apr-2025,"262,308",0,"262,308",Net 45,91-120 days,77,Vijay Kumar,vijay@kumarsons.com
V001,Mehta Trading Co,27AABCM1234F1Z5,AABCM1234F,PINV/6278,25-Jun-2025,25-Jul-2025,"320,551",0,"320,551",Net 30,Current (0-30),0,Rahul Mehta,rahul@mehtatrading.com
V013,Laxmi Exports,19AABCL2345R1Z6,AABCL2345R,PINV/6333,08-Mar-2025,07-Apr-2025,"124,444","62,222","62,222",Net 30,91-120 days,84,Mohan Laxmi,mohan@laxmiexp.com
V007,Patel Industries,24AABCP6789L1Z4,AABCP6789L,PINV/2333,01-Apr-2025,01-May-2025,"219,679","109,840","109,839",Net 30,61-90 days,60,Nitin Patel,nitin@patelinds.com
V011,Tech Solutions,29AABCT3456P1Z2,AABCT3456P,PINV/2645,23-Mar-2025,22-Apr-2025,"153,993",0,"153,993",Net 30,91-120 days,69,Arjun Das,arjun@techsol.com
V012,Om Traders,36AABCO7890Q1Z4,AABCO7890Q,PINV/3345,16-Feb-2025,17-Apr-2025,"439,355","439,355",0,Net 60,91-120 days,74,Rekha Joshi,rekha@omtraders.com
V001,Mehta Trading Co,27AABCM1234F1Z5,AABCM1234F,PINV/3094,22-Feb-2025,24-Mar-2025,"400,442",0,"400,442",Net 30,Above 120 days,98,Rahul Mehta,rahul@mehtatrading.com
V014,National Agencies,24AABCN6789S1Z8,AABCN6789S,PINV/9990,02-Mar-2025,16-Apr-2025,"92,346","46,173","46,173",Net 45,91-120 days,75,Kavita Rao,kavita@natlag.com
V002,Sunrise Enterprises,29AACCS5678G1Z3,AACCS5678G,PINV/8899,11-Feb-2025,28-Mar-2025,"128,042",0,"128,042",Net 45,Above 120 days,94,Priya Nair,priya@sunrise.com
V003,Bharat Stationery,07AABCB9012H1Z1,AABCB9012H,PINV/2465,02-Jun-2025,02-Jul-2025,"223,098",0,"223,098",Net 30,Current (0-30),0,Amit Sharma,amit@bharatstat.com
V003,Bharat Stationery,07AABCB9012H1Z1,AABCB9012H,PINV/6349,23-Mar-2025,22-Apr-2025,"385,491",0,"385,491",Net 30,91-120 days,69,Amit Sharma,amit@bharatstat.com
V012,Om Traders,36AABCO7890Q1Z4,AABCO7890Q,PINV/5220,28-Feb-2025,29-Apr-2025,"476,237",0,"476,237",Net 60,91-120 days,62,Rekha Joshi,rekha@omtraders.com
V011,Tech Solutions,29AABCT3456P1Z2,AABCT3456P,PINV/3224,13-Feb-2025,15-Mar-2025,"320,439","160,220","160,219",Net 30,Above 120 days,107,Arjun Das,arjun@techsol.com
