Sl No,Value Date,Description,Ref / Cheque No,Debit (INR),Credit (INR),Balance (INR)
1,01-Apr-2025,UPI-CR-721175/Mehta Trading Co,7211755002,,"114,118","964,118"
2,01-Apr-2025,CLG/422713/Om Traders,CHQ-482397,"44,006",,"920,112"
3,03-Apr-2025,RTGS/106798/New India Corp RCVD,1067988348,,"352,401","1,272,513"
4,03-Apr-2025,CLG/713965/Raj Distributors,CHQ-474341,,"37,763","1,310,276"
5,05-Apr-2025,RTGS/639422/Anand Electricals RCVD,6394225258,"257,216",,"1,053,060"
6,05-Apr-2025,UPI-CR-674039/Bharat Stationery,6740395980,"385,456",,"667,604"
7,07-Apr-2025,INT CREDIT ON SAVING A/C,4982519826,,"4,545","672,149"
8,09-Apr-2025,NEFT/309883/ Rcvd frm New India Corp,3098830890,,"68,554","740,703"
9,11-Apr-2025,CHQ DEPOSIT/569976,CHQ-477110,"116,225",,"624,478"
10,14-Apr-2025,IMPS-CR-206298,2062980262,,"125,284","749,762"
11,15-Apr-2025,IMPS/044476/Sunrise Enterprises RCVD,0444769043,"270,461",,"479,301"
12,15-Apr-2025,ECS-NACH/294850,2948509899,,"243,272","722,573"
13,15-Apr-2025,CHQ DEPOSIT/039726,CHQ-498038,,"291,694","1,014,267"
14,16-Apr-2025,NEFT/558190/ Rcvd frm Mehta Trading Co,5581901562,"291,565",,"722,702"
15,16-Apr-2025,INTEREST CREDIT,5592723623,,"5,159","727,861"
16,18-Apr-2025,UPI/551302/Sunrise Enterprises@upi,5513022453,,"335,592","1,063,453"
17,21-Apr-2025,UPI/111526/Gupta Brothers@upi,1115267262,"50,688",,"1,012,765"
18,22-Apr-2025,NEFT-319147/ Mehta Trading Co RCVD,3191475196,"293,342",,"719,423"
19,22-Apr-2025,NEFT/399036/ Rcvd frm Global Traders,3990366358,,"432,980","1,152,403"
20,22-Apr-2025,INT CREDIT ON SAVING A/C,1974672173,,"6,624","1,159,027"
