Stock Entry Date,Item Code,Item Description,Category,UOM,Opening Qty,Receipts Qty,Issues Qty,Closing Qty,Reorder Level,Unit Cost (INR),Closing Stock Value (INR),Supplier Code,Location,Batch No
05-May-2025,ITM-1001,Steel Rod 10mm,Raw Material,KG,199,129,16,312,48,928,"289,530",SUP-007,Rack B,BT-MAY-773
24-May-2025,ITM-1002,Aluminum Sheet 2mm,Raw Material,KG,274,6,112,168,28,"4,219","708,738",SUP-020,Dispatch Bay,BT-MAY-394
18-May-2025,ITM-1003,Copper Wire 1.5mm,Raw Material,KG,132,36,140,28,60,293,"8,204",SUP-003,Cold Storage,BT-MAY-630
18-May-2025,ITM-1004,PVC Granules,Raw Material,KG,58,158,184,32,41,"3,623","115,941",SUP-011,Rack B,BT-MAY-139
05-May-2025,ITM-1005,PP Granules,Raw Material,KG,103,175,59,219,20,"1,912","418,783",SUP-019,Main Warehouse,BT-MAY-933
13-May-2025,ITM-1006,HDPE Resin,Raw Material,KG,443,145,30,558,48,"3,813","2,127,799",SUP-002,Dispatch Bay,BT-MAY-658
03-May-2025,ITM-1007,Cotton Yarn,Raw Material,KG,60,166,121,105,93,"3,228","338,888",SUP-010,QC Hold,BT-MAY-730
13-May-2025,ITM-1008,Corrugated Box L,Packing Material,NOS,280,191,60,411,82,"3,067","1,260,504",SUP-012,QC Hold,BT-MAY-565
16-May-2025,ITM-1009,Bubble Wrap Roll,Packing Material,NOS,128,116,137,107,66,"1,127","120,585",SUP-010,QC Hold,BT-MAY-848
06-May-2025,ITM-1010,Shrink Film 200m,Packing Material,NOS,248,65,41,272,67,"3,703","1,007,115",SUP-014,Floor Store,BT-MAY-407
05-May-2025,ITM-1011,Packing Tape,Packing Material,NOS,71,117,105,83,89,"4,260","353,572",SUP-013,Rack A,BT-MAY-960
21-May-2025,ITM-1012,Foam Sheet,Packing Material,NOS,230,53,103,180,73,"4,419","795,469",SUP-015,QC Hold,BT-MAY-563
15-May-2025,ITM-1013,Wooden Pallet,Packing Material,NOS,248,118,93,273,63,"1,637","446,844",SUP-013,Rack A,BT-MAY-840
17-May-2025,ITM-1014,Stretch Wrap,Packing Material,NOS,155,62,55,162,44,"2,846","461,092",SUP-020,Rack B,BT-MAY-574
18-May-2025,ITM-1015,Product A-101,Finished Goods,NOS,491,195,104,582,67,"3,224","1,876,112",SUP-007,Cold Storage,BT-MAY-244
16-May-2025,ITM-1016,Product B-202,Finished Goods,NOS,105,138,166,77,77,"1,509","116,162",SUP-020,Cold Storage,BT-MAY-152
07-May-2025,ITM-1017,Product C-303,Finished Goods,NOS,161,86,141,106,40,"3,302","349,976",SUP-017,Cold Storage,BT-MAY-284
15-May-2025,ITM-1018,Product D-404,Finished Goods,NOS,62,177,52,187,69,"2,841","531,321",SUP-006,Rack B,BT-MAY-863
22-May-2025,ITM-1019,Product E-505,Finished Goods,NOS,338,196,39,495,71,"2,880","1,425,402",SUP-007,Rack A,BT-MAY-521
11-May-2025,ITM-1020,Assembly X1,Finished Goods,NOS,289,62,189,162,36,"3,815","618,108",SUP-016,Rack B,BT-MAY-725
30-May-2025,ITM-1021,Assembly Y2,Finished Goods,NOS,440,156,135,461,100,"4,381","2,019,558",SUP-004,Floor Store,BT-MAY-166
03-May-2025,ITM-1022,Sub-Assembly SA-01,Semi-Finished,NOS,60,2,3,59,62,"4,264","251,604",SUP-011,Rack B,BT-MAY-307
24-May-2025,ITM-1023,Sub-Assembly SA-02,Semi-Finished,NOS,127,54,78,103,28,"1,821","187,570",SUP-011,Dispatch Bay,BT-MAY-948
15-May-2025,ITM-1024,WIP Component W1,Semi-Finished,NOS,293,86,180,199,42,"1,456","289,706",SUP-004,Floor Store,BT-MAY-675
06-May-2025,ITM-1025,WIP Component W2,Semi-Finished,NOS,500,38,41,497,73,601,"298,707",SUP-020,Cold Storage,BT-MAY-262
18-May-2025,ITM-1026,Intermediate I-01,Semi-Finished,NOS,332,160,120,372,55,"3,453","1,284,486",SUP-008,Main Warehouse,BT-MAY-779
05-May-2025,ITM-1027,Traded Item T-01,Trading Goods,NOS,277,24,193,108,25,687,"74,157",SUP-013,Cold Storage,BT-MAY-488
